          WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_ext (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
3.767E-01 8.114E-15 3.135E-15 2.255E-14 3.058E-17 2.471E-16 4.160E-14
3.802E-01 7.900E-15 3.062E-15 2.247E-14 3.033E-17 2.445E-16 4.126E-14
3.837E-01 7.690E-15 2.990E-15 2.239E-14 3.009E-17 2.419E-16 4.094E-14
3.873E-01 7.484E-15 2.919E-15 2.231E-14 2.984E-17 2.393E-16 4.064E-14
3.908E-01 7.282E-15 2.850E-15 2.222E-14 2.960E-17 2.367E-16 4.034E-14
3.945E-01 7.084E-15 2.781E-15 2.214E-14 2.936E-17 2.342E-16 4.004E-14
3.981E-01 6.889E-15 2.714E-15 2.206E-14 2.912E-17 2.318E-16 3.972E-14
4.018E-01 6.698E-15 2.648E-15 2.197E-14 2.887E-17 2.293E-16 3.938E-14
4.055E-01 6.511E-15 2.583E-15 2.189E-14 2.863E-17 2.269E-16 3.902E-14
4.093E-01 6.327E-15 2.519E-15 2.180E-14 2.839E-17 2.245E-16 3.865E-14
4.130E-01 6.147E-15 2.456E-15 2.172E-14 2.815E-17 2.221E-16 3.829E-14
4.169E-01 5.971E-15 2.395E-15 2.163E-14 2.792E-17 2.198E-16 3.793E-14
4.207E-01 5.798E-15 2.334E-15 2.154E-14 2.768E-17 2.175E-16 3.758E-14
4.246E-01 5.629E-15 2.275E-15 2.146E-14 2.744E-17 2.152E-16 3.724E-14
4.285E-01 5.463E-15 2.216E-15 2.137E-14 2.721E-17 2.130E-16 3.690E-14
4.325E-01 5.301E-15 2.159E-15 2.129E-14 2.697E-17 2.108E-16 3.654E-14
4.365E-01 5.142E-15 2.103E-15 2.120E-14 2.675E-17 2.086E-16 3.618E-14
4.406E-01 4.987E-15 2.049E-15 2.111E-14 2.652E-17 2.065E-16 3.581E-14
4.446E-01 4.835E-15 1.996E-15 2.102E-14 2.629E-17 2.044E-16 3.543E-14
4.487E-01 4.686E-15 1.944E-15 2.092E-14 2.606E-17 2.023E-16 3.504E-14
4.529E-01 4.540E-15 1.894E-15 2.083E-14 2.584E-17 2.002E-16 3.466E-14
4.571E-01 4.398E-15 1.844E-15 2.074E-14 2.562E-17 1.982E-16 3.428E-14
4.613E-01 4.259E-15 1.796E-15 2.065E-14 2.540E-17 1.962E-16 3.391E-14
4.656E-01 4.123E-15 1.749E-15 2.056E-14 2.518E-17 1.942E-16 3.354E-14
4.699E-01 3.991E-15 1.704E-15 2.046E-14 2.496E-17 1.922E-16 3.316E-14
4.742E-01 3.861E-15 1.659E-15 2.037E-14 2.474E-17 1.903E-16 3.278E-14
4.786E-01 3.734E-15 1.616E-15 2.028E-14 2.453E-17 1.884E-16 3.240E-14
4.831E-01 3.610E-15 1.574E-15 2.019E-14 2.432E-17 1.865E-16 3.201E-14
4.875E-01 3.489E-15 1.532E-15 2.009E-14 2.411E-17 1.847E-16 3.161E-14
4.920E-01 3.371E-15 1.493E-15 2.000E-14 2.390E-17 1.829E-16 3.122E-14
