               WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_abs (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
3.436E-01 1.046E-14 3.906E-15 1.229E-14 3.314E-17 2.499E-16 5.820E-15
3.467E-01 1.021E-14 3.819E-15 1.226E-14 3.288E-17 2.478E-16 5.743E-15
3.499E-01 9.960E-15 3.734E-15 1.223E-14 3.262E-17 2.456E-16 5.669E-15
3.532E-01 9.716E-15 3.651E-15 1.220E-14 3.236E-17 2.435E-16 5.603E-15
3.565E-01 9.475E-15 3.570E-15 1.216E-14 3.210E-17 2.414E-16 5.548E-15
3.597E-01 9.239E-15 3.490E-15 1.213E-14 3.184E-17 2.393E-16 5.502E-15
3.631E-01 9.006E-15 3.413E-15 1.210E-14 3.159E-17 2.372E-16 5.457E-15
3.664E-01 8.777E-15 3.336E-15 1.207E-14 3.133E-17 2.352E-16 5.407E-15
3.698E-01 8.552E-15 3.260E-15 1.203E-14 3.108E-17 2.332E-16 5.346E-15
3.733E-01 8.331E-15 3.185E-15 1.200E-14 3.083E-17 2.312E-16 5.279E-15
3.767E-01 8.114E-15 3.111E-15 1.196E-14 3.058E-17 2.292E-16 5.210E-15
3.802E-01 7.900E-15 3.039E-15 1.192E-14 3.033E-17 2.272E-16 5.144E-15
3.837E-01 7.690E-15 2.968E-15 1.189E-14 3.009E-17 2.252E-16 5.085E-15
3.873E-01 7.484E-15 2.898E-15 1.185E-14 2.984E-17 2.233E-16 5.033E-15
3.908E-01 7.282E-15 2.829E-15 1.181E-14 2.960E-17 2.213E-16 4.986E-15
3.945E-01 7.084E-15 2.762E-15 1.177E-14 2.936E-17 2.194E-16 4.940E-15
3.981E-01 6.889E-15 2.695E-15 1.173E-14 2.911E-17 2.175E-16 4.891E-15
4.018E-01 6.698E-15 2.630E-15 1.169E-14 2.887E-17 2.156E-16 4.837E-15
4.055E-01 6.511E-15 2.565E-15 1.164E-14 2.863E-17 2.137E-16 4.777E-15
4.093E-01 6.327E-15 2.502E-15 1.160E-14 2.839E-17 2.118E-16 4.717E-15
4.130E-01 6.147E-15 2.440E-15 1.155E-14 2.815E-17 2.099E-16 4.657E-15
4.169E-01 5.971E-15 2.379E-15 1.150E-14 2.791E-17 2.080E-16 4.602E-15
4.207E-01 5.798E-15 2.319E-15 1.145E-14 2.768E-17 2.062E-16 4.550E-15
4.246E-01 5.629E-15 2.260E-15 1.140E-14 2.744E-17 2.043E-16 4.501E-15
4.285E-01 5.463E-15 2.202E-15 1.135E-14 2.721E-17 2.025E-16 4.453E-15
4.325E-01 5.301E-15 2.146E-15 1.130E-14 2.697E-17 2.007E-16 4.405E-15
4.365E-01 5.142E-15 2.091E-15 1.124E-14 2.674E-17 1.989E-16 4.356E-15
4.406E-01 4.987E-15 2.037E-15 1.119E-14 2.652E-17 1.971E-16 4.305E-15
4.446E-01 4.835E-15 1.984E-15 1.113E-14 2.629E-17 1.953E-16 4.252E-15
4.487E-01 4.686E-15 1.933E-15 1.107E-14 2.606E-17 1.936E-16 4.199E-15
4.529E-01 4.540E-15 1.883E-15 1.102E-14 2.584E-17 1.918E-16 4.148E-15
4.571E-01 4.398E-15 1.834E-15 1.096E-14 2.562E-17 1.901E-16 4.099E-15
4.613E-01 4.259E-15 1.786E-15 1.090E-14 2.539E-17 1.884E-16 4.051E-15
4.656E-01 4.123E-15 1.740E-15 1.084E-14 2.518E-17 1.867E-16 4.005E-15
4.699E-01 3.991E-15 1.694E-15 1.078E-14 2.496E-17 1.850E-16 3.959E-15
4.742E-01 3.861E-15 1.650E-15 1.072E-14 2.474E-17 1.834E-16 3.914E-15
4.786E-01 3.734E-15 1.607E-15 1.066E-14 2.453E-17 1.817E-16 3.868E-15
4.831E-01 3.610E-15 1.565E-15 1.060E-14 2.432E-17 1.801E-16 3.822E-15
4.875E-01 3.489E-15 1.524E-15 1.054E-14 2.411E-17 1.785E-16 3.775E-15
4.920E-01 3.371E-15 1.485E-15 1.048E-14 2.390E-17 1.769E-16 3.729E-15
4.966E-01 3.255E-15 1.446E-15 1.042E-14 2.370E-17 1.753E-16 3.683E-15
5.012E-01 3.142E-15 1.409E-15 1.036E-14 2.349E-17 1.738E-16 3.637E-15
5.058E-01 3.031E-15 1.372E-15 1.030E-14 2.329E-17 1.722E-16 3.593E-15
5.105E-01 2.922E-15 1.336E-15 1.023E-14 2.309E-17 1.707E-16 3.550E-15
5.152E-01 2.816E-15 1.301E-15 1.017E-14 2.289E-17 1.691E-16 3.508E-15
5.200E-01 2.712E-15 1.267E-15 1.011E-14 2.269E-17 1.676E-16 3.466E-15
5.248E-01 2.611E-15 1.234E-15 1.005E-14 2.249E-17 1.661E-16 3.425E-15
5.297E-01 2.512E-15 1.202E-15 9.983E-15 2.230E-17 1.647E-16 3.383E-15
5.346E-01 2.416E-15 1.171E-15 9.920E-15 2.211E-17 1.632E-16 3.341E-15
5.395E-01 2.324E-15 1.140E-15 9.856E-15 2.192E-17 1.617E-16 3.299E-15
5.445E-01 2.233E-15 1.110E-15 9.793E-15 2.173E-17 1.603E-16 3.258E-15
5.495E-01 2.146E-15 1.081E-15 9.729E-15 2.154E-17 1.589E-16 3.217E-15
5.546E-01 2.061E-15 1.053E-15 9.665E-15 2.135E-17 1.574E-16 3.177E-15
5.598E-01 1.978E-15 1.026E-15 9.600E-15 2.117E-17 1.560E-16 3.138E-15
5.649E-01 1.899E-15 9.990E-16 9.536E-15 2.098E-17 1.546E-16 3.099E-15
5.702E-01 1.822E-15 9.730E-16 9.471E-15 2.080E-17 1.533E-16 3.061E-15
5.754E-01 1.747E-15 9.477E-16 9.406E-15 2.062E-17 1.519E-16 3.023E-15
5.808E-01 1.675E-15 9.231E-16 9.342E-15 2.044E-17 1.505E-16 2.985E-15
5.861E-01 1.605E-15 8.992E-16 9.277E-15 2.026E-17 1.492E-16 2.947E-15
5.916E-01 1.538E-15 8.760E-16 9.212E-15 2.008E-17 1.479E-16 2.910E-15
5.970E-01 1.473E-15 8.534E-16 9.147E-15 1.991E-17 1.465E-16 2.873E-15
6.026E-01 1.410E-15 8.314E-16 9.082E-15 1.974E-17 1.452E-16 2.836E-15
6.081E-01 1.350E-15 8.101E-16 9.018E-15 1.956E-17 1.439E-16 2.800E-15
6.138E-01 1.291E-15 7.893E-16 8.953E-15 1.939E-17 1.427E-16 2.764E-15
6.194E-01 1.235E-15 7.692E-16 8.888E-15 1.922E-17 1.414E-16 2.729E-15
6.252E-01 1.181E-15 7.497E-16 8.824E-15 1.906E-17 1.401E-16 2.694E-15
6.310E-01 1.128E-15 7.307E-16 8.759E-15 1.889E-17 1.389E-16 2.659E-15
6.368E-01 1.077E-15 7.122E-16 8.695E-15 1.872E-17 1.376E-16 2.625E-15
6.427E-01 1.027E-15 6.944E-16 8.632E-15 1.856E-17 1.364E-16 2.591E-15
6.486E-01 9.786E-16 6.770E-16 8.568E-15 1.840E-17 1.352E-16 2.557E-15
6.546E-01 9.312E-16 6.602E-16 8.505E-15 1.824E-17 1.340E-16 2.524E-15
6.607E-01 8.852E-16 6.437E-16 8.441E-15 1.808E-17 1.328E-16 2.491E-15
6.668E-01 8.407E-16 6.276E-16 8.376E-15 1.792E-17 1.316E-16 2.459E-15
6.730E-01 7.980E-16 6.120E-16 8.312E-15 1.777E-17 1.305E-16 2.427E-15
6.792E-01 7.568E-16 5.969E-16 8.247E-15 1.761E-17 1.293E-16 2.395E-15
6.855E-01 7.174E-16 5.822E-16 8.183E-15 1.746E-17 1.282E-16 2.364E-15
6.918E-01 6.796E-16 5.679E-16 8.120E-15 1.731E-17 1.270E-16 2.333E-15
6.982E-01 6.435E-16 5.540E-16 8.056E-15 1.716E-17 1.259E-16 2.302E-15
7.047E-01 6.092E-16 5.406E-16 7.993E-15 1.701E-17 1.248E-16 2.272E-15
7.112E-01 5.766E-16 5.275E-16 7.930E-15 1.687E-17 1.237E-16 2.242E-15
7.178E-01 5.457E-16 5.148E-16 7.868E-15 1.672E-17 1.227E-16 2.212E-15
7.244E-01 5.165E-16 5.025E-16 7.805E-15 1.658E-17 1.216E-16 2.183E-15
7.311E-01 4.889E-16 4.905E-16 7.743E-15 1.644E-17 1.205E-16 2.154E-15
7.379E-01 4.627E-16 4.789E-16 7.681E-15 1.630E-17 1.195E-16 2.126E-15
7.447E-01 4.379E-16 4.676E-16 7.619E-15 1.616E-17 1.184E-16 2.098E-15
7.516E-01 4.143E-16 4.566E-16 7.557E-15 1.602E-17 1.174E-16 2.070E-15
7.586E-01 3.919E-16 4.460E-16 7.495E-15 1.588E-17 1.164E-16 2.042E-15
7.656E-01 3.706E-16 4.357E-16 7.434E-15 1.575E-17 1.154E-16 2.015E-15
7.727E-01 3.503E-16 4.257E-16 7.373E-15 1.561E-17 1.144E-16 1.988E-15
7.798E-01 3.310E-16 4.160E-16 7.312E-15 1.548E-17 1.134E-16 1.961E-15
7.870E-01 3.128E-16 4.066E-16 7.252E-15 1.534E-17 1.124E-16 1.935E-15
7.943E-01 2.956E-16 3.974E-16 7.192E-15 1.521E-17 1.114E-16 1.909E-15
8.017E-01 2.795E-16 3.886E-16 7.132E-15 1.508E-17 1.104E-16 1.883E-15
8.091E-01 2.645E-16 3.801E-16 7.072E-15 1.495E-17 1.095E-16 1.858E-15
8.166E-01 2.504E-16 3.718E-16 7.012E-15 1.482E-17 1.085E-16 1.833E-15
8.241E-01 2.373E-16 3.638E-16 6.953E-15 1.469E-17 1.076E-16 1.808E-15
8.318E-01 2.253E-16 3.560E-16 6.894E-15 1.457E-17 1.066E-16 1.783E-15
8.395E-01 2.142E-16 3.485E-16 6.835E-15 1.444E-17 1.057E-16 1.759E-15
8.472E-01 2.041E-16 3.413E-16 6.777E-15 1.432E-17 1.048E-16 1.735E-15
8.551E-01 1.949E-16 3.343E-16 6.719E-15 1.419E-17 1.038E-16 1.711E-15
8.630E-01 1.867E-16 3.276E-16 6.662E-15 1.407E-17 1.029E-16 1.687E-15
8.710E-01 1.795E-16 3.212E-16 6.605E-15 1.395E-17 1.020E-16 1.663E-15
8.790E-01 1.733E-16 3.150E-16 6.548E-15 1.383E-17 1.011E-16 1.640E-15
8.872E-01 1.680E-16 3.092E-16 6.492E-15 1.371E-17 1.003E-16 1.617E-15
8.954E-01 1.638E-16 3.036E-16 6.435E-15 1.359E-17 9.937E-17 1.594E-15
9.036E-01 1.608E-16 2.983E-16 6.379E-15 1.347E-17 9.850E-17 1.571E-15
9.120E-01 1.590E-16 2.934E-16 6.323E-15 1.335E-17 9.763E-17 1.549E-15
9.204E-01 1.585E-16 2.888E-16 6.269E-15 1.324E-17 9.677E-17 1.527E-15
9.290E-01 1.597E-16 2.847E-16 6.215E-15 1.312E-17 9.592E-17 1.505E-15
9.376E-01 1.629E-16 2.811E-16 6.161E-15 1.301E-17 9.508E-17 1.483E-15
9.462E-01 1.685E-16 2.781E-16 6.108E-15 1.289E-17 9.425E-17 1.461E-15
9.550E-01 1.772E-16 2.760E-16 6.055E-15 1.278E-17 9.342E-17 1.439E-15
9.638E-01 1.901E-16 2.749E-16 6.001E-15 1.267E-17 9.260E-17 1.418E-15
9.727E-01 2.087E-16 2.754E-16 5.948E-15 1.256E-17 9.179E-17 1.397E-15
9.817E-01 2.356E-16 2.780E-16 5.895E-15 1.245E-17 9.098E-17 1.376E-15
9.908E-01 2.745E-16 2.837E-16 5.843E-15 1.234E-17 9.018E-17 1.356E-15
1.000E+00 3.318E-16 2.942E-16 5.792E-15 1.224E-17 8.939E-17 1.335E-15
1.009E+00 4.172E-16 3.120E-16 5.742E-15 1.213E-17 8.862E-17 1.315E-15
1.019E+00 5.448E-16 3.407E-16 5.691E-15 1.203E-17 8.785E-17 1.296E-15
